"t_date","t_numeric"
"1/23/00",0
"1/26/00",2.58000000000175
"2/3/00",10.8899999999994
"2/9/00",16.1399999999994
"2/23/00",30.2099999999991
"2/27/00",34.6000000000058
"2/28/00",35.760000000002
"3/6/00",42.6300000000047
"3/11/00",47.6200000000026
"6/16/00",144.380000000005
"6/25/00",153.790000000001
"6/30/00",158.630000000005
"7/13/00",172.090000000004
"7/30/00",188.120000000003
"7/31/00",189.630000000005
"8/16/00",206.060000000005
"9/13/00",233.959999999999
"5/31/01",493.709999999999
"6/7/01",501.020000000004
"6/17/01",510.270000000004
"6/26/01",520.040000000001
"6/29/01",523
"11/18/01",664.260000000002
"12/6/01",683.090000000004
"5/13/02",840.970000000001
